Project,Category,Voter Profile
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 45, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.9682026234244329, 'Impact Preference': 0.22797975576436758}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 40, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.38032902060290896, 'Impact Preference': 0.3959906689199124}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 57, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.32379990348847365, 'Impact Preference': 0.8305799912796836}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 49, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.882413353750486, 'Impact Preference': 0.6666420874699527}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 56, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.45080132199180833, 'Impact Preference': 0.6931093865966386}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 64, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.8183888565774596, 'Impact Preference': 0.5586200180983546}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 52, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.5070871320171435, 'Impact Preference': 0.7633371322420351}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 54, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.36570123917806374, 'Impact Preference': 0.7568788624356947}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 24, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.9558866197401649, 'Impact Preference': 0.38782628956140985}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 53, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.9046201305205787, 'Impact Preference': 0.5160733011459391}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 44, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.15749979817093185, 'Impact Preference': 0.8192975623113508}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 23, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.46431775346096305, 'Impact Preference': 0.795817889771276}}"
Renovate Auditorium for Eleanor Roosevelt H.S.,Education,"{'Age': 63, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.6119652698821539, 'Impact Preference': 0.5872159133752882}}"
Rooftop Greenhouse at P.S. 290,Education,"{'Age': 36, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.8541472874403546, 'Impact Preference': 0.6345846091644106}}"
Rooftop Greenhouse at P.S. 290,Education,"{'Age': 28, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.2174729689761848, 'Impact Preference': 0.27814252649566185}}"
Rooftop Greenhouse at P.S. 290,Education,"{'Age': 65, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.8396318075657035, 'Impact Preference': 0.6135195406406162}}"
Rooftop Greenhouse at P.S. 290,Education,"{'Age': 46, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.29377428705649306, 'Impact Preference': 0.20186223838427958}}"
Rooftop Greenhouse at P.S. 290,Education,"{'Age': 28, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.30683996009697456, 'Impact Preference': 0.5662311393652144}}"
Rooftop Greenhouse at P.S. 290,Education,"{'Age': 35, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.5219213405743564, 'Impact Preference': 0.8551071019688415}}"
Rooftop Greenhouse at P.S. 290,Education,"{'Age': 62, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.9772767194452187, 'Impact Preference': 0.8544938890870842}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 21, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.6695880472319679, 'Impact Preference': 0.7276338585733424}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 59, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.5519552029294269, 'Impact Preference': 0.8123432952476364}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 42, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.16448519236343406, 'Impact Preference': 0.7219805355479658}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 18, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.7660677759729182, 'Impact Preference': 0.5924818690366714}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 64, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.4842005752408519, 'Impact Preference': 0.5993611411117863}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 24, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.12816859926147534, 'Impact Preference': 0.6150049025368132}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 31, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.7262040821127215, 'Impact Preference': 0.29230343011180293}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 45, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.1443396235951992, 'Impact Preference': 0.3700240648437345}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 48, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.9534207166759852, 'Impact Preference': 0.8217816747604787}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 34, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.231759520432347, 'Impact Preference': 0.6860409961126159}}"
Sound System at Julia Richman JREC Auditorium,Education,"{'Age': 34, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.4854961410938058, 'Impact Preference': 0.9430343845081015}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 35, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.49604761538614817, 'Impact Preference': 0.43772093885612173}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 19, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.3475046371535658, 'Impact Preference': 0.3613430285905185}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 54, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.49349876124128766, 'Impact Preference': 0.2315630710136069}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 65, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.1711969572851889, 'Impact Preference': 0.43025219587921437}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 53, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.5878244355874479, 'Impact Preference': 0.5090315330996406}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 48, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.5898646643919945, 'Impact Preference': 0.5848238101112149}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 53, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.5747084105834394, 'Impact Preference': 0.8347581082770781}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 55, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.8825476860563968, 'Impact Preference': 0.8556036075706953}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 40, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.5017048346884031, 'Impact Preference': 0.2082420599806769}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 63, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.8407449891259099, 'Impact Preference': 0.9704380350989749}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 53, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.26065286284047995, 'Impact Preference': 0.4848845511048665}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 32, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.6779729298939342, 'Impact Preference': 0.25977133902677507}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 42, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.6379213407019109, 'Impact Preference': 0.8681115238616549}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 53, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.6873281757341663, 'Impact Preference': 0.24467199408934048}}"
STEM Green Roof at P.S./I.S. 217,Education,"{'Age': 19, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.312242399108406, 'Impact Preference': 0.8175144108099465}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 64, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.5674424556161475, 'Impact Preference': 0.9467440255021623}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 44, 'Gender': 'Other', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.5531090791520208, 'Impact Preference': 0.3256688561778377}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 65, 'Gender': 'Male', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.4369100963079333, 'Impact Preference': 0.7579016267332791}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 50, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.20349843118115996, 'Impact Preference': 0.2489998206310876}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 38, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.2767685455022814, 'Impact Preference': 0.7706948296340671}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 21, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.2984380593064492, 'Impact Preference': 0.4434058628204992}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 31, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.9555346102613942, 'Impact Preference': 0.30832110046762456}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 36, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.17106631320426946, 'Impact Preference': 0.6409573844126927}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 35, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.6187012626532388, 'Impact Preference': 0.9889068704298332}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 49, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.6179989021561101, 'Impact Preference': 0.48753992671890534}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 54, 'Gender': 'Other', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.6556773976063668, 'Impact Preference': 0.9861751099470168}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 31, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.29271343835389707, 'Impact Preference': 0.2047547162572958}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 46, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.9495807173005201, 'Impact Preference': 0.5066103954448308}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 24, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.575732060176139, 'Impact Preference': 0.31106150266550364}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 19, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.42502567955837545, 'Impact Preference': 0.17208083660300877}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 64, 'Gender': 'Male', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.8522771529063615, 'Impact Preference': 0.8462318321280495}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 38, 'Gender': 'Male', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.9427906328461925, 'Impact Preference': 0.8514741715624746}}"
Lexington Houses Security Upgrade,Housing,"{'Age': 49, 'Gender': 'Female', 'Preferences': {'Category': 'Housing', 'Cost Sensitivity': 0.8325840471040029, 'Impact Preference': 0.6081329966651403}}"
Parks Greening,Parks & Recreation,"{'Age': 64, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.6613519675121643, 'Impact Preference': 0.4449488125075497}}"
Parks Greening,Parks & Recreation,"{'Age': 56, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.602478710020894, 'Impact Preference': 0.19734465880693103}}"
Parks Greening,Parks & Recreation,"{'Age': 63, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.5758030611216604, 'Impact Preference': 0.2649638269030711}}"
Parks Greening,Parks & Recreation,"{'Age': 24, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.7148159108109333, 'Impact Preference': 0.4943424834355006}}"
Parks Greening,Parks & Recreation,"{'Age': 42, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.6562512036395827, 'Impact Preference': 0.9032023736054366}}"
Parks Greening,Parks & Recreation,"{'Age': 60, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.16700132919500785, 'Impact Preference': 0.39293883846512234}}"
Parks Greening,Parks & Recreation,"{'Age': 21, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.40921186045511515, 'Impact Preference': 0.4494149043678727}}"
Parks Greening,Parks & Recreation,"{'Age': 30, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.37538794939193454, 'Impact Preference': 0.28287926762504656}}"
Parks Greening,Parks & Recreation,"{'Age': 30, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.7404903378772054, 'Impact Preference': 0.7691708038361363}}"
Parks Greening,Parks & Recreation,"{'Age': 38, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9245116882775298, 'Impact Preference': 0.924682295861056}}"
Parks Greening,Parks & Recreation,"{'Age': 53, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8708279425984387, 'Impact Preference': 0.6636911311337821}}"
Parks Greening,Parks & Recreation,"{'Age': 63, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.20744338870498896, 'Impact Preference': 0.7093930709470148}}"
Parks Greening,Parks & Recreation,"{'Age': 30, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.12093509946268016, 'Impact Preference': 0.6134605520127269}}"
Parks Greening,Parks & Recreation,"{'Age': 53, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.6578384262533615, 'Impact Preference': 0.5096763905810107}}"
Parks Greening,Parks & Recreation,"{'Age': 22, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.20994379527967028, 'Impact Preference': 0.3540623263774225}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 27, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.7148137841340821, 'Impact Preference': 0.5021905364563675}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 42, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.59479904108734, 'Impact Preference': 0.1050884360827113}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 45, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.752751993210805, 'Impact Preference': 0.16939316143784955}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 26, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.96238452757591, 'Impact Preference': 0.8100513468910963}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 21, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.479639336846306, 'Impact Preference': 0.2637888350816564}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 48, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.18014719418994313, 'Impact Preference': 0.6993481886505427}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 52, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.5673682357415796, 'Impact Preference': 0.574499054235073}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 29, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8773945669166713, 'Impact Preference': 0.5795993459823539}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 21, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8194874989376734, 'Impact Preference': 0.9547450184879867}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 52, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8411052243709232, 'Impact Preference': 0.3300465260371596}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 57, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.6267900300384198, 'Impact Preference': 0.1625094233571321}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 41, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.41878275657687025, 'Impact Preference': 0.9310983615523907}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 50, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.30781756377748515, 'Impact Preference': 0.2166874922064137}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 34, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.1310972192938164, 'Impact Preference': 0.26941887362595585}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 63, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.33765192530627586, 'Impact Preference': 0.7758119569197465}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 54, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.2810863547084592, 'Impact Preference': 0.8971117782139919}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 27, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.37354331323290857, 'Impact Preference': 0.9982660824338839}}"
Lexington Houses East & West Playground Renovation,Parks & Recreation,"{'Age': 25, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9498811537436459, 'Impact Preference': 0.8541168548812387}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 43, 'Gender': 'Other', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.8200596421116191, 'Impact Preference': 0.9558268642668537}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 20, 'Gender': 'Male', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.4217600552501589, 'Impact Preference': 0.6154418612191889}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 34, 'Gender': 'Female', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.2131670172066239, 'Impact Preference': 0.8503933990501793}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 49, 'Gender': 'Male', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.26654698616261163, 'Impact Preference': 0.8302085116910685}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 44, 'Gender': 'Female', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.38081200062194354, 'Impact Preference': 0.9410142800758934}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 21, 'Gender': 'Female', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.5734207790731353, 'Impact Preference': 0.49010365830589175}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 59, 'Gender': 'Female', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.4034654096164333, 'Impact Preference': 0.8262714315517533}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 36, 'Gender': 'Male', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.9320491089674171, 'Impact Preference': 0.4667599975026425}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 54, 'Gender': 'Other', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.8053212812123333, 'Impact Preference': 0.6253170013051106}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 27, 'Gender': 'Female', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.7953307787002866, 'Impact Preference': 0.4314719052389837}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 43, 'Gender': 'Other', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.6753324344933099, 'Impact Preference': 0.8082741256809406}}"
Center @ Lenox Hill Neighborhood House Entrance,Seniors,"{'Age': 41, 'Gender': 'Male', 'Preferences': {'Category': 'Seniors', 'Cost Sensitivity': 0.18373802333601555, 'Impact Preference': 0.7284561065672478}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 50, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.3100901941120665, 'Impact Preference': 0.78530729061921}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 59, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.9214666499756731, 'Impact Preference': 0.45753606483234455}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 25, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.3216714077221069, 'Impact Preference': 0.6604906296705602}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 60, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.8762439298577188, 'Impact Preference': 0.6495498687272112}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 56, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.3526990814728902, 'Impact Preference': 0.9301322279957069}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 65, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.2926740478493882, 'Impact Preference': 0.43814317211196174}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 36, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.628857098906728, 'Impact Preference': 0.44809822554371437}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 50, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.166618311747394, 'Impact Preference': 0.2898536585148742}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 52, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.6304401705280754, 'Impact Preference': 0.69516019151684}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 35, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.423874788444777, 'Impact Preference': 0.7862425765310738}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 48, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.7676179072130793, 'Impact Preference': 0.5675476993293433}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 33, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.5192943705908489, 'Impact Preference': 0.294538365899381}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 45, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.39664036654056767, 'Impact Preference': 0.3896995235353188}}"
Air Conditioning at the Performing Arts Library,Education,"{'Age': 29, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.36590028022149124, 'Impact Preference': 0.3321119200267877}}"
Auditorium Renovations and Upgrades at P.S. 166,Education,"{'Age': 22, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.568152898376335, 'Impact Preference': 0.7392470539045017}}"
Auditorium Renovations and Upgrades at P.S. 166,Education,"{'Age': 64, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.8748342596818242, 'Impact Preference': 0.19004665152951083}}"
Auditorium Renovations and Upgrades at P.S. 166,Education,"{'Age': 25, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.6394568324593384, 'Impact Preference': 0.8552499695131154}}"
Auditorium Renovations and Upgrades at P.S. 166,Education,"{'Age': 34, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.5080463580338955, 'Impact Preference': 0.9230450523495333}}"
Auditorium Renovations and Upgrades at P.S. 166,Education,"{'Age': 31, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.8508768436569009, 'Impact Preference': 0.5617014082710888}}"
Auditorium Renovations and Upgrades at P.S. 166,Education,"{'Age': 55, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.5939058712675432, 'Impact Preference': 0.261418985298781}}"
Auditorium Renovations and Upgrades at P.S. 166,Education,"{'Age': 28, 'Gender': 'Other', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.4710690231640734, 'Impact Preference': 0.3519378989093762}}"
Auditorium Renovations and Upgrades at P.S. 166,Education,"{'Age': 46, 'Gender': 'Male', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.8613663678982466, 'Impact Preference': 0.21649844082787142}}"
Auditorium Renovations and Upgrades at P.S. 166,Education,"{'Age': 19, 'Gender': 'Female', 'Preferences': {'Category': 'Education', 'Cost Sensitivity': 0.6004081456786885, 'Impact Preference': 0.7397145323002695}}"
